District,Area (sqkm),Population,Density
Quận 1,7.72,142000," 18,393.78 "
Quận 2,49.79,180000," 3,615.18 "
Quận 3,4.92,190000," 38,617.89 "
Quận 4,4.18,175000," 41,866.03 "
Quận 5,4.27,159000," 37,236.53 "
Quận 6,7.14,233000," 32,633.05 "
Quận 7,35.69,360000," 10,086.86 "
Quận 8,19.11,424000," 22,187.34 "
Quận 9,114,397000," 3,482.46 "
Quận 10,5.72,234000," 40,909.09 "
Quận 11,5.14,209000," 40,661.48 "
Quận 12,52.74,620000," 11,755.78 "
Bình Tân,52.02,784000," 15,071.13 "
Bình Thạnh,20.78,499000," 24,013.47 "
Gò Vấp,19.73,676000," 34,262.54 "
Phú Nhuận,4.88,163000," 33,401.64 "
Tân Bình,22.43,474000," 21,132.41 "
Tân Phú,15.97,485000," 30,369.44 "
Thủ Đức,47.8,592000," 12,384.94 "
Bình Chánh,252.56,705000," 2,791.42 "
Cần Giờ,704.45,71000, 100.79 
Củ Chi,434.77,462000," 1,062.63 "
Hóc Môn,107.17,542000," 5,057.39 "
Nhà Bè,100.43,206000," 2,051.18 "
